"brand";"model_year";"milage";"fuel_type";"engine";"transmission";"ext_col";"int_col";"accident";"clean_title";"price_dollar";"horsepower";"cylinders"
"GMC";2022;24900;"Gasoline";"310.0HP 2.7L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";49900;310;4
"Ford";2016;95500;"Gasoline";"365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";20000;365;6
"Lexus";2021;48300;"Gasoline";"383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Red";"None reported";"Yes";82000;383;8
"BMW";2008;94000;"Gasoline";"414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel";"Manual";"Gray";"Red";"None reported";"Yes";25999;414;8
"Nissan";2011;183000;"Gasoline";"261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Gray";"At least 1 accident or damage reported";"Yes";12000;261;6
"Ford";2013;126225;"Hybrid";"188.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid";"Automatic";"Silver";"Black";"At least 1 accident or damage reported";"Yes";11500;188;4
"Volkswagen";2016;87892;"Gasoline";"210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Manual";"Gray";"Black";"None reported";"Yes";16000;210;4
"Cadillac";2012;45000;"Gasoline";"556.0HP 6.2L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Black";"None reported";"Yes";41500;556;8
"Lexus";2015;106000;"Gasoline";"301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Beige";"None reported";"Yes";37500;301;8
"GMC";2019;51300;"Gasoline";"193.0HP 2.5L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";25500;193;4
"Volkswagen";2012;107000;"Gasoline";"170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Beige";"None reported";"Yes";9499;170;5
"Land";2019;17500;"Gasoline";"518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";65000;518;8
"RAM";2017;117878;"Diesel";"350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel";"Automatic";"Red";"Black";"None reported";"Yes";42000;350;6
"Nissan";2010;138700;"Gasoline";"265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"At least 1 accident or damage reported";"Yes";7000;265;6
"Cadillac";2009;152068;"E85 Flex Fuel";"403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability";"Automatic";"White";"Black";"At least 1 accident or damage reported";"Yes";12350;403;8
"BMW";2016;77000;"Gasoline";"240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Red";"At least 1 accident or damage reported";"Yes";26999;240;4
"Ford";2017;26000;"Gasoline";"350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel";"Manual";"Gray";"Black";"None reported";"Yes";37000;350;4
"Lexus";2014;131200;"Hybrid";"134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid";"Automatic";"Brown";"Brown";"None reported";"Yes";14000;134;4
"BMW";2015;59000;"Gasoline";"425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel";"Manual";"Gray";"Black";"None reported";"Yes";53500;425;6
"Volkswagen";2020;15500;"Gasoline";"268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Black";"None reported";"Yes";30000;268;4
"BMW";2013;90000;"Gasoline";"300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Red";"None reported";"Yes";19950;300;6
"INFINITI";2006;94000;"Gasoline";"280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Gray";"At least 1 accident or damage reported";"Yes";10995;280;6
"Hummer";2008;63750;"Gasoline";"393.0HP 6.2L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"At least 1 accident or damage reported";"Yes";55000;393;8
"Mercedes-Benz";2011;95500;"Gasoline";"228.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Beige";"At least 1 accident or damage reported";"Yes";15990;228;6
"Acura";2019;37900;"Gasoline";"201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";26000;201;4
"Porsche";2015;13250;"Gasoline";"475.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel";"Automatic";"Brown";"Gray";"None reported";"Yes";154900;475;6
"BMW";2001;81000;"Gasoline";"333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel";"Manual";"Blue";"Gray";"None reported";"Yes";39000;333;6
"Chevrolet";2022;37806;"Gasoline";"355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";60894;355;8
"Dodge";2010;151544;"Gasoline";"355.0HP 5.7L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Brown";"Gray";"At least 1 accident or damage reported";"Yes";17700;355;8
"Chevrolet";2012;60345;"Gasoline";"400.0HP 6.2L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Yellow";"Black";"None reported";"Yes";26950;400;8
"Dodge";2010;90305;"Gasoline";"250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"None reported";"Yes";12000;250;6
"Chevrolet";2018;8660;"Gasoline";"455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";45000;455;8
"Ford";2021;28220;"Diesel";"475.0HP 6.7L 8 Cylinder Engine Diesel Fuel";"Automatic";"Silver";"Black";"None reported";"Yes";73600;475;8
"Ford";2015;97700;"Diesel";"440.0HP 6.7L 8 Cylinder Engine Diesel Fuel";"Automatic";"Black";"–";"None reported";"Yes";39950;440;8
"Chevrolet";2023;4200;"Gasoline";"490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";98000;490;8
"Lincoln";2016;1e+05;"Gasoline";"240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"White";"None reported";"Yes";24000;240;4
"Ford";2001;333361;"Diesel";"250.0HP 7.3L 8 Cylinder Engine Diesel Fuel";"Automatic";"Black";"Beige";"At least 1 accident or damage reported";"Yes";17000;250;8
"Land";2018;63295;"Gasoline";"340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"White";"None reported";"Yes";29993;340;6
"Land";2022;3000;"Gasoline";"518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";96500;518;8
"Chevrolet";2014;102604;"E85 Flex Fuel";"355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability";"Automatic";"Gray";"Gray";"None reported";"Yes";25500;355;8
"Mercedes-Benz";2017;39800;"Gasoline";"563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Red";"None reported";"Yes";99000;563;8
"Ford";2019;124000;"E85 Flex Fuel";"385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability";"Automatic";"White";"Gray";"None reported";"Yes";40100;385;8
"Tesla";2022;12080;"Electric";"271.0HP Electric Motor Electric Fuel System";"Automatic";"Black";"Black";"None reported";"Yes";36750;271;0
"Lexus";2018;39300;"Gasoline";"383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";69500;383;8
"INFINITI";2019;51000;"Gasoline";"295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"–";"At least 1 accident or damage reported";"Yes";29000;295;6
"Land";2017;67000;"Gasoline";"340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Beige";"None reported";"Yes";35999;340;6
"Hyundai";2013;136991;"Gasoline";"198.0HP 2.4L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Gray";"None reported";"Yes";11000;198;4
"Toyota";2022;3959;"Gasoline";"389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Gray";"None reported";"Yes";55000;389;6
"Jeep";2020;47500;"Gasoline";"293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Purple";"Black";"None reported";"Yes";31000;293;6
"Ford";2005;176691;"Diesel";"325.0HP 6.0L 8 Cylinder Engine Diesel Fuel";"Automatic";"White";"Beige";"At least 1 accident or damage reported";"Yes";13000;325;8
"Tesla";2021;33000;"Electric";"455.0HP Electric Motor Electric Fuel System";"Automatic";"Red";"White";"None reported";"Yes";55000;455;0
"Mercedes-Benz";2014;34600;"Gasoline";"402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";27500;402;8
"RAM";2014;84500;"Gasoline";"410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Gray";"None reported";"Yes";34000;410;8
"Kia";2022;36100;"Hybrid";"227.0HP 1.6L 4 Cylinder Engine Gas/Electric Hybrid";"Automatic";"Black";"White";"None reported";"Yes";37500;227;4
"Hyundai";2015;92225;"Gasoline";"311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";17000;311;6
"Jeep";2020;17500;"Gasoline";"180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Black";"None reported";"Yes";25695;180;4
"Ford";2011;114323;"Gasoline";"175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";6000;175;4
"Toyota";2014;92000;"Gasoline";"260.0HP 4.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Beige";"Black";"None reported";"Yes";27500;260;6
"Dodge";2021;17000;"Gasoline";"475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Black";"None reported";"Yes";65000;475;8
"Hyundai";2015;96476;"Gasoline";"290.0HP 3.3L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Gray";"None reported";"Yes";13000;290;6
"Land";2016;56842;"Gasoline";"510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Black";"None reported";"Yes";35000;510;8
"Pontiac";2009;122348;"Gasoline";"260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Black";"At least 1 accident or damage reported";"Yes";10000;260;4
"BMW";2015;98000;"Gasoline";"315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Beige";"None reported";"Yes";22500;315;6
"MINI";2019;18997;"Gasoline";"189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Black";"None reported";"Yes";26750;189;4
"Porsche";2016;40350;"Gasoline";"330.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"None reported";"Yes";67995;330;6
"Ford";2011;156856;"E85 Flex Fuel";"310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability";"Automatic";"Black";"Brown";"None reported";"Yes";14300;310;8
"BMW";2017;61773;"Gasoline";"567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"None reported";"Yes";46000;567;8
"Ford";2011;74500;"Gasoline";"412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel";"Manual";"Black";"Black";"None reported";"Yes";22000;412;8
"Jeep";2016;99000;"Gasoline";"172.0HP 2.4L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Gray";"At least 1 accident or damage reported";"Yes";5000;172;4
"INFINITI";2008;63496;"Gasoline";"330.0HP 3.7L V6 Cylinder Engine Gasoline Fuel";"Manual";"Black";"Black";"None reported";"Yes";15000;330;6
"Ford";2022;18465;"Gasoline";"400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Gray";"None reported";"Yes";47500;400;6
"Porsche";2007;42635;"Gasoline";"355.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Blue";"None reported";"Yes";72995;355;6
"INFINITI";2005;99000;"Gasoline";"298.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Manual";"Silver";"Black";"None reported";"Yes";18900;298;6
"Chrysler";2013;87500;"Gasoline";"292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";13750;292;6
"Toyota";2007;138000;"Gasoline";"210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";6800;210;6
"Lexus";2018;70891;"Gasoline";"260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";28995;260;6
"Buick";2020;55403;"Gasoline";"310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Gray";"At least 1 accident or damage reported";"Yes";29444;310;6
"BMW";2022;3213;"Gasoline";"503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Red";"None reported";"Yes";89995;503;6
"Pontiac";2005;142314;"Gasoline";"400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel";"Manual";"Red";"Red";"At least 1 accident or damage reported";"Yes";21999;400;8
"Toyota";2013;53000;"Gasoline";"260.0HP 4.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Black";"None reported";"Yes";36740;260;6
"Hyundai";2014;120250;"Gasoline";"145.0HP 1.8L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Gray";"None reported";"Yes";7500;145;4
"Porsche";2015;72329;"Gasoline";"340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Black";"None reported";"Yes";29500;340;6
"Hummer";2007;153692;"Gasoline";"242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel";"Automatic";"Beige";"Black";"None reported";"Yes";9995;242;5
"Rivian";2022;8681;"Electric";"835.0HP Electric Motor Electric Fuel System";"Automatic";"Gray";"Black";"None reported";"Yes";82000;835;0
"Audi";2012;98400;"Gasoline";"333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"White";"None reported";"Yes";18000;333;6
"Toyota";2023;1400;"Gasoline";"270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";46500;270;6
"Tesla";2018;32000;"Electric";"271.0HP Electric Motor Electric Fuel System";"Automatic";"Black";"Black";"None reported";"Yes";29999;271;0
"Ford";1997;92800;"Gasoline";"210.0HP 5.8L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Gray";"None reported";"Yes";9000;210;8
"Mercedes-Benz";2021;75151;"Gasoline";"416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";130000;416;8
"Subaru";2008;94000;"Gasoline";"243.0HP 2.5L 4 Cylinder Engine Gasoline Fuel";"Manual";"Gray";"Blue";"None reported";"Yes";12500;243;4
"Mercedes-Benz";2014;67350;"Gasoline";"302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"–";"At least 1 accident or damage reported";"Yes";18700;302;6
"BMW";2001;66500;"Gasoline";"333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel";"Manual";"Red";"Black";"None reported";"Yes";21000;333;6
"Mercedes-Benz";2014;70612;"Gasoline";"201.0HP 1.8L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";14500;201;4
"Toyota";2007;112630;"Gasoline";"266.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Gray";"At least 1 accident or damage reported";"Yes";11500;266;6
"Dodge";2014;124705;"E85 Flex Fuel";"283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability";"Automatic";"Black";"Black";"None reported";"Yes";6499;283;6
"BMW";2018;61000;"Gasoline";"335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel";"Manual";"Blue";"Black";"At least 1 accident or damage reported";"Yes";34000;335;6
"RAM";2017;157272;"Diesel";"350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel";"Automatic";"White";"Gray";"At least 1 accident or damage reported";"Yes";32999;350;6
"Mercedes-Benz";2015;84000;"Gasoline";"362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Gray";"None reported";"Yes";20399;362;6
"Jeep";2020;27981;"Gasoline";"285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Black";"None reported";"Yes";47500;285;6
"Bentley";2009;18000;"Gasoline";"552.0HP 6.0L 12 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Beige";"None reported";"Yes";63000;552;12
"Tesla";2019;27123;"Electric";"425.0HP Electric Motor Electric Fuel System";"Automatic";"Red";"Black";"None reported";"Yes";38200;425;0
"Chevrolet";2021;3053;"Gasoline";"490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Gray";"None reported";"Yes";83900;490;8
"Audi";2015;60251;"Gasoline";"272.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";19000;272;6
"Mazda";2021;5093;"Gasoline";"181.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Manual";"Gray";"Black";"None reported";"Yes";28000;181;4
"Bentley";2018;31875;"Gasoline";"600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";115785;600;12
"Mercedes-Benz";2005;175722;"Gasoline";"302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";7000;302;8
"BMW";2015;17900;"Gasoline";"560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";59900;560;8
"GMC";2015;142792;"Gasoline";"355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Brown";"None reported";"Yes";22999;355;8
"Toyota";2010;89400;"Gasoline";"381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Gray";"None reported";"Yes";26900;381;8
"Chrysler";2007;86000;"Gasoline";"340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"None reported";"Yes";15000;340;8
"Toyota";2018;74000;"E85 Flex Fuel";"381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability";"Automatic";"Beige";"Black";"At least 1 accident or damage reported";"Yes";38000;381;8
"Hummer";2004;130000;"Gasoline";"316.0HP 6.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";16500;316;8
"BMW";2015;86000;"Gasoline";"540.0HP 4.4L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"White";"At least 1 accident or damage reported";"Yes";29000;540;8
"Land";2008;140600;"Gasoline";"390.0HP 4.2L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Beige";"None reported";"Yes";7500;390;8
"Audi";2018;27532;"Gasoline";"252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"None reported";"Yes";27900;252;4
"Ford";2017;91000;"E85 Flex Fuel";"160.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability";"Automatic";"Gray";"Black";"None reported";"Yes";12500;160;4
"Mercedes-Benz";2014;63000;"Gasoline";"402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Black";"None reported";"Yes";28500;402;8
"Jeep";2022;10500;"Plug-In Hybrid";"375.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas";"Automatic";"Green";"Beige";"None reported";"Yes";49999;375;4
"Mercedes-Benz";2014;75073;"E85 Flex Fuel";"302.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability";"Automatic";"Gray";"Black";"None reported";"Yes";21500;302;6
"Jeep";2008;140000;"Gasoline";"202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"–";"At least 1 accident or damage reported";"Yes";9000;202;6
"Mercedes-Benz";2019;30300;"Gasoline";"188.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Black";"None reported";"Yes";30500;188;4
"Chevrolet";2009;139000;"Gasoline";"169.0HP 2.4L 4 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Black";"None reported";"Yes";4200;169;4
"Hummer";2006;118000;"Gasoline";"220.0HP 3.5L 5 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"None reported";"Yes";17900;220;5
"BMW";2015;51000;"Plug-In Hybrid";"357.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas";"Automatic";"Gray";"Brown";"None reported";"Yes";53000;357;3
"Cadillac";2009;69423;"Gasoline";"320.0HP 4.6L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Beige";"None reported";"Yes";36500;320;8
"Lincoln";2017;52284;"Gasoline";"240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Beige";"At least 1 accident or damage reported";"Yes";12500;240;4
"Chevrolet";2006;111228;"Gasoline";"195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Gray";"At least 1 accident or damage reported";"Yes";4000;195;6
"Land";2019;52300;"Gasoline";"340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";49900;340;6
"Ford";2019;31600;"Gasoline";"460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel";"Manual";"Blue";"Gray";"None reported";"Yes";41000;460;8
"BMW";2017;83298;"Gasoline";"248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";18300;248;4
"Land";2017;95212;"Gasoline";"340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Brown";"Beige";"None reported";"Yes";31599;340;6
"Porsche";2010;61600;"Gasoline";"345.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";51750;345;6
"INFINITI";2011;130921;"Gasoline";"400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";12000;400;8
"BMW";2024;1500;"Gasoline";"335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Brown";"None reported";"Yes";90000;335;6
"MINI";2017;79950;"Gasoline";"189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Blue";"Black";"None reported";"Yes";17390;189;4
"Cadillac";2021;31500;"Gasoline";"420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";95000;420;8
"Audi";2017;61000;"Gasoline";"610.0HP 5.2L 10 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"None reported";"Yes";140000;610;10
"Porsche";2014;22700;"Gasoline";"350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel";"Manual";"Silver";"Black";"At least 1 accident or damage reported";"Yes";85500;350;6
"Bentley";2009;43000;"Gasoline";"552.0HP 6.0L 12 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";48500;552;12
"Toyota";2015;99000;"Gasoline";"310.0HP 4.6L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Gray";"None reported";"Yes";27000;310;8
"Toyota";2006;135000;"Gasoline";"236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Gray";"None reported";"Yes";16900;236;6
"Cadillac";2019;46000;"Gasoline";"265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Beige";"At least 1 accident or damage reported";"Yes";29000;265;4
"Land";2019;41200;"Gasoline";"380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"None reported";"Yes";60500;380;6
"Cadillac";2016;116500;"Gasoline";"420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Brown";"At least 1 accident or damage reported";"Yes";30500;420;8
"Chevrolet";2018;24059;"Gasoline";"650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"None reported";"Yes";87150;650;8
"Audi";2015;118500;"E85 Flex Fuel";"220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability";"Automatic";"Silver";"Black";"At least 1 accident or damage reported";"Yes";15400;220;4
"Maserati";2018;20000;"Gasoline";"424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Brown";"None reported";"Yes";43000;424;6
"Ford";2023;9500;"Gasoline";"400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Red";"At least 1 accident or damage reported";"Yes";63500;400;6
"Nissan";2006;134000;"Gasoline";"265.0HP 4.0L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Gray";"At least 1 accident or damage reported";"Yes";8500;265;6
"Subaru";2022;10500;"Gasoline";"228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"–";"None reported";"Yes";32500;228;4
"Chevrolet";2018;53100;"Gasoline";"160.0HP 1.5L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Black";"None reported";"Yes";17500;160;4
"Nissan";2021;24000;"Gasoline";"141.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Gray";"Black";"None reported";"Yes";25500;141;4
"Volvo";2006;61000;"Gasoline";"218.0HP 2.5L 5 Cylinder Engine Gasoline Fuel";"Manual";"Blue";"Beige";"None reported";"Yes";10299;218;5
"Lincoln";2021;19700;"Gasoline";"335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Beige";"None reported";"Yes";48000;335;6
"Mercedes-Benz";2018;28182;"Gasoline";"469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel";"Automatic";"White";"Brown";"At least 1 accident or damage reported";"Yes";84500;469;8
"Ford";2017;59500;"Gasoline";"310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";21000;310;4
"Ford";1999;115402;"E85 Flex Fuel";"152.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability";"Automatic";"Gold";"Beige";"None reported";"Yes";8000;152;6
"GMC";2018;85500;"Gasoline";"355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Black";"At least 1 accident or damage reported";"Yes";35899;355;8
"RAM";2020;51000;"Gasoline";"410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel";"Automatic";"Red";"Black";"None reported";"Yes";44900;410;8
"Tesla";2021;17500;"Electric";"455.0HP Electric Motor Electric Fuel System";"Automatic";"Gray";"White";"None reported";"Yes";45000;455;0
"Lexus";2011;132000;"Gasoline";"272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel";"Automatic";"Black";"Beige";"None reported";"Yes";9999;272;6
"Volvo";2018;62000;"Gasoline";"316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel";"Automatic";"Silver";"Black";"None reported";"Yes";30500;316;4
"Porsche";2016;12454;"Gasoline";"500.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel";"Manual";"Purple";"Black";"None reported";"Yes";210000;500;6
